Customer ID,Recency,Frequency,MonetaryValue,Segment
JK-16090,28,3,3747.668,0
JK-16120,117,10,2932.484,2
JL-15130,8,6,1214.956,0
JL-15175,6,5,1571.523,0
JL-15235,119,5,2203.7,0
JL-15505,49,6,3173.874,0
JL-15835,21,11,9799.923,2
JL-15850,614,6,2725.256,1
JM-15250,37,6,3159.1220000000003,0
JM-15265,37,5,1804.146,0
JM-15535,102,7,1733.443,0
JM-15580,0,5,303.948,0
JM-15655,8,5,864.947,0
JM-15865,109,7,7625.076000000001,2
JM-16195,57,10,2833.9260000000004,2
JO-15145,57,9,3254.949,2
JO-15280,92,6,1934.272,0
JO-15550,215,5,1090.838,0
JP-15460,37,7,1669.135,0
JP-15520,8,7,3635.594,2
JP-16135,102,9,1707.71,2
JR-15670,593,2,1156.658,1
JR-15700,68,1,863.88,0
JR-16210,33,5,2201.686,0
JS-15595,119,4,1417.654,0
JS-15685,42,4,1131.0639999999999,0
JS-15880,534,5,3868.02,1
JS-15940,463,5,469.169,1
JS-16030,28,6,2516.494,0
JW-15220,42,6,7721.714,2
JW-15955,5,7,1244.086,0
JW-16075,461,4,1428.731,1
KA-16525,36,7,1519.506,0
KB-16240,4,7,3152.6150000000002,0
KB-16315,296,9,1569.464,2
KB-16405,117,3,908.821,0
KB-16585,230,12,2744.742,2
KB-16600,1,7,983.922,0
KC-16255,407,6,2120.954,1
KC-16540,97,4,3908.262,0
KC-16675,57,4,1146.05,0
KD-16270,484,5,8282.358,1
KD-16345,41,6,1888.964,0
KD-16495,112,12,8181.256,2
KD-16615,289,5,2243.5099999999998,0
KE-16420,26,8,1686.7312,0
KF-16285,97,7,10604.266,2
KH-16330,40,8,3312.864,2
KH-16360,1,6,3100.612,0
KH-16510,22,7,5952.859,2
KH-16630,58,9,3918.9660000000003,2
KH-16690,2,7,5990.799,2
KL-16555,16,8,5016.488,2
KL-16645,47,12,14175.229000000001,2
KM-16225,14,6,2260.958,0
KM-16375,56,8,5620.186,2
KM-16660,15,5,453.538,0
KM-16720,28,8,4909.472,2
KN-16390,19,9,2617.272,2
KN-16450,52,5,2171.962,0
KN-16705,98,8,2280.58,0
KS-16300,295,3,88.472,1
KT-16465,391,7,3057.1,1
KT-16480,100,10,4642.088400000001,2
KW-16435,96,5,4416.5199999999995,0
KW-16570,771,4,449.096,1
LA-16780,154,11,8673.222,2
LB-16735,48,3,50.188,0
LB-16795,152,8,4985.676,2
LC-16870,27,8,2580.7039999999997,2
LC-16885,16,12,7663.126,2
LC-16930,41,8,4492.946,2
LC-16960,436,4,3246.626,1
LC-17050,54,5,2095.064,0
LC-17140,13,9,2633.582,2
LD-16855,552,1,5.304,1
LD-17005,414,4,1961.934,1
LE-16810,21,6,1469.45,0
LF-17185,22,7,3930.5089999999996,2
LH-16750,151,3,287.426,0
LH-16900,21,9,2295.332,2
LH-17020,239,4,318.239,0
LH-17155,385,9,1739.689,2
LL-16840,249,6,2741.2039999999997,0
LM-17065,391,5,1346.774,1
LO-17170,2,5,644.35,0
LP-17080,40,4,756.606,0
LP-17095,9,7,3653.399,2
LR-16915,26,6,5142.892,2
LR-17035,132,5,1879.306,0
LS-16945,178,6,2845.27,0
LS-16975,20,9,2988.674,2
LS-17200,96,6,1010.2560000000001,0
LS-17230,777,3,368.88000000000005,1
LS-17245,34,6,1008.1360000000001,0
LT-16765,26,3,329.876,0
LT-17110,34,8,2936.252,2
LW-16825,88,5,2238.061,0
LW-16990,33,6,3230.308,0
LW-17125,205,3,1259.04,0
LW-17215,21,7,5420.514,2
MA-17560,64,11,4299.161,2
MA-17995,186,6,2453.284,0
MB-17305,48,10,1548.702,2
MB-18085,44,7,1428.231,0
MC-17275,76,8,2725.982,2
MC-17425,399,5,4432.138,1
MC-17575,27,8,1303.893,0
MC-17590,51,6,2426.067,0
MC-17605,112,8,2258.192,0
MC-17635,189,4,795.154,0
MC-17845,1,7,3805.714,2
MC-18100,41,10,2218.98,2
MC-18130,369,5,1581.9979999999998,1
MD-17350,117,7,3766.382,2
MD-17860,36,5,1204.91,0
ME-17320,42,10,10663.728000000001,2
ME-17725,28,8,1908.4532,0
ME-18010,92,4,1256.944,0
MF-17665,421,5,937.039,1
MF-18250,7,5,1758.3,0
MG-17650,29,7,3785.276,2
MG-17680,92,4,2350.188,0
MG-17695,555,3,1342.282,1
MG-17875,116,5,1242.8329999999999,0
MG-17890,99,9,776.384,0
MG-18145,84,4,3061.543,0
MG-18205,264,1,16.739,1
MH-17290,119,6,2394.025,0
MH-17440,376,4,400.016,1
MH-17455,85,8,2456.1820000000002,0
MH-17620,155,4,1252.8,0
MH-17785,98,7,2203.7780000000002,0
MH-18025,49,5,2984.948,0
MH-18115,5,9,5503.093,2
MJ-17740,22,7,6320.746,2
MK-17905,28,8,2302.368,0
MK-18160,240,4,1031.602,0
ML-17395,69,9,2722.843,2
ML-17410,54,6,2921.5,0
ML-17755,29,7,2071.9139999999998,0
ML-18040,79,3,742.082,0
ML-18265,100,2,162.232,0
MM-17260,168,4,1314.023,0
MM-17920,7,11,3794.0800000000004,2
MM-18055,61,8,2749.881,2
MM-18280,85,9,775.414,0
MN-17935,34,6,2477.946,0
MO-17500,72,4,922.487,0
MO-17800,104,8,1687.0269999999998,0
MO-17950,180,2,154.288,0
MP-17470,719,7,3206.132,1
MP-17965,72,9,3983.6420000000003,2
MP-18175,16,9,5087.92,2
MR-17545,125,4,639.178,0
MS-17365,273,10,7443.6900000000005,2
MS-17530,434,4,475.65599999999995,1
MS-17710,413,6,1613.402,1
MS-17770,121,9,3144.678,2
MS-17830,452,4,370.348,1
MS-17980,26,6,855.116,0
MT-17815,49,6,2890.139,0
MT-18070,203,4,1319.4498,0
MV-17485,27,9,1560.05,2
MV-18190,19,7,1734.574,0
MW-18220,17,7,5341.900000000001,2
MW-18235,44,2,5253.876,0
MY-17380,29,7,2254.285,0
MY-18295,71,11,4152.696,2
MZ-17335,30,4,593.606,0
MZ-17515,282,6,2564.906,0
NB-18580,1165,2,273.87199999999996,1
NB-18655,19,9,1972.599,2
NC-18340,224,5,2461.404,0
NC-18415,41,6,2218.9900000000002,0
NC-18535,6,7,8241.739,2
NC-18625,204,5,1821.742,0
ND-18370,27,9,4326.139,2
ND-18460,183,6,2893.455,0
NF-18385,79,7,8322.826,2
NF-18475,525,4,377.16200000000003,1
NF-18595,114,7,2031.472,0
NG-18355,48,5,1869.58,0
NG-18430,48,5,1395.9379999999999,0
NH-18610,189,7,2673.29,0
NK-18490,70,7,572.048,0
NL-18310,58,4,1418.0900000000001,0
NM-18445,160,7,6459.344,2
NM-18520,244,10,2161.979,2
NP-18325,25,6,5529.62,2
NP-18670,58,5,3908.402,0
NP-18685,406,6,1228.698,1
NP-18700,138,7,7903.1825,2
NR-18550,210,5,2367.277,0
NS-18505,6,4,2575.863,0
NS-18640,174,13,2964.823,2
NW-18400,172,7,7234.014,2
NZ-18565,85,9,2488.31,2
ON-18715,410,9,1567.52,1
OT-18730,65,5,3818.624,0
PA-19060,103,6,729.408,0
PB-18805,25,3,740.356,0
PB-19105,57,4,688.324,0
PB-19150,97,8,1456.95,0
PB-19210,688,2,132.738,1
PC-18745,2,4,1832.064,0
PC-19000,882,2,1061.488,1
PF-19120,835,4,9062.864,1
PF-19165,196,6,2770.0,0
PF-19225,114,5,2206.1279999999997,0
PG-18820,36,13,3086.907,2
PG-18895,57,9,1987.164,2
PH-18790,70,1,729.648,0
PJ-18835,39,8,1220.09,0
PJ-19015,134,7,1824.2340000000002,0
PK-18910,483,2,1441.152,1
PK-19075,9,12,8646.934,2
PL-18925,15,5,239.481,0
PM-18940,386,3,1405.402,1
PM-19135,51,4,4115.662,0
PN-18775,30,8,1467.152,0
PO-18850,4,11,7473.8282,2
PO-18865,0,7,2493.214,0
PO-19180,160,9,4893.043,2
PO-19195,86,5,1056.858,0
PP-18955,97,10,7252.608,2
PR-18880,36,5,1840.178,0
PS-18760,107,6,2181.479,0
PS-18970,69,8,1278.639,0
PS-19045,236,7,6843.634,2
PT-19090,71,4,160.572,0
PV-18985,89,5,2876.046,0
PW-19030,46,10,3454.916,2
PW-19240,464,7,3922.4150000000004,1
QJ-19255,25,9,6108.338,2
RA-19285,5,9,2617.906,2
RA-19885,43,7,3832.314,2
RA-19915,12,9,4793.543,2
RA-19945,61,5,1686.9225,0
RB-19330,68,2,1008.1959999999999,0
RB-19360,96,6,15117.339,2
RB-19435,19,8,2663.0860000000002,2
RB-19465,9,12,4715.466,2
RB-19570,25,5,528.546,0
RB-19645,648,5,221.084,1
RB-19705,54,4,2067.45,0
RB-19795,32,8,5633.316000000001,2
RC-19825,369,6,966.409,1
RC-19960,110,6,885.752,0
RD-19480,72,8,4272.93,2
RD-19585,180,10,2912.8940000000002,2
RD-19660,114,5,2786.632,0
RD-19720,21,10,1419.737,2
RD-19810,14,8,1137.616,0
RD-19900,114,9,3133.924,2
RD-19930,42,4,970.9420000000001,0
RE-19405,1097,1,48.36,1
RE-19450,302,5,876.696,0
RF-19345,390,8,3309.15,2
RF-19735,89,7,2341.2960000000003,0
RF-19840,6,8,945.222,0
RH-19495,32,5,3621.3759999999997,0
RH-19510,467,6,6979.18,1
RH-19555,519,2,740.382,1
RH-19600,534,3,2085.7400000000002,1
RK-19300,119,3,1460.192,0
RL-19615,121,8,6234.91,2
RM-19375,345,6,1453.474,1
RM-19675,6,5,5979.0960000000005,2
RM-19750,299,1,98.35,1
RO-19780,35,7,3815.478,2
RP-19270,496,4,954.6452,1
RP-19390,33,12,5153.084,2
RP-19855,28,8,2170.716,0
RR-19315,19,2,615.932,0
RR-19525,170,6,3302.2619999999997,0
RS-19420,76,5,3221.29,0
RS-19765,36,8,4159.7699999999995,2
RS-19870,19,2,22.328,0
RW-19540,120,7,7397.401,2
RW-19630,89,9,3279.746,2
RW-19690,79,5,3495.646,0
SA-20830,63,10,4767.3415,2
SB-20170,201,3,1348.02,0
SB-20185,188,6,6410.996,2
SB-20290,47,7,8057.891,2
SC-20020,781,5,3362.9636,1
SC-20050,40,9,4624.572,2
SC-20095,349,9,14142.333999999999,2
SC-20230,149,4,4371.9580000000005,0
SC-20260,187,8,3729.7929999999997,2
SC-20305,29,7,3979.065,2
SC-20380,30,9,5992.536,2
SC-20440,36,7,1874.998,0
SC-20575,92,5,902.7280000000001,0
SC-20680,126,6,1254.64,0
SC-20695,89,10,2576.408,2
SC-20725,187,11,5226.21,2
SC-20770,41,7,4492.657,2
SC-20800,30,4,279.25600000000003,0
SC-20845,131,2,280.632,0
SD-20485,200,9,6121.114,2
SE-20110,9,11,12209.438000000002,2
SF-20065,59,7,763.5459999999999,0
SF-20200,59,9,3422.7859999999996,2
SF-20965,48,9,3336.535,2
SG-20080,8,3,3406.5809999999997,0
SG-20470,183,8,1884.798,0
SG-20605,108,6,3124.832,0
SG-20890,226,3,47.946,0
SH-19975,29,13,3406.8395,2
SH-20395,23,10,2180.718,2
SH-20635,765,2,2096.392,1
SJ-20125,95,12,3949.656,2
SJ-20215,29,6,1341.036,0
SJ-20500,253,5,1318.776,0
SK-19990,8,3,883.409,0
SL-20155,70,7,3053.012,0
SM-20005,421,4,244.49399999999997,1
SM-20320,79,5,25043.05,2
SM-20905,606,1,1043.041,1
SM-20950,25,12,5563.392,2
SN-20560,111,6,1860.418,0
SN-20710,79,7,3127.9592,0
SO-20335,29,6,2602.5755,0
SP-20545,327,6,1306.086,0
SP-20620,47,9,5440.319,2
SP-20650,386,9,1872.4360000000001,2
SP-20860,79,10,4282.94,2
SP-20920,70,6,3990.689,0
SR-20425,8,5,3233.481,0
SR-20740,196,8,4345.8859999999995,2
SS-20140,15,8,1324.028,0
SS-20410,110,6,3056.8070000000002,0
SS-20515,491,3,613.4,1
SS-20590,432,6,418.49,1
SS-20875,120,5,964.636,0
ST-20530,125,7,433.34000000000003,0
SU-20665,20,7,2595.364,0
SV-20365,101,10,11470.949999999999,2
SV-20785,320,9,4105.305,2
SV-20815,76,4,1271.0900000000001,0
SV-20935,2,8,1903.491,0
SW-20245,81,7,1085.078,0
SW-20275,30,6,1966.65,0
SW-20350,162,3,1019.044,0
SW-20455,162,7,2921.544,0
SW-20755,534,2,758.6959999999999,1
SZ-20035,35,11,3625.329,2
TA-21385,69,4,14595.62,2
TB-21055,119,5,1467.881,0
TB-21175,58,4,3589.296,0
TB-21190,49,4,816.1740000000001,0
TB-21250,349,7,1602.376,0
TB-21280,583,6,2198.45,1
TB-21355,146,5,834.328,0
TB-21400,202,7,9133.99,2
TB-21520,107,9,4737.486,2
TB-21595,285,5,1387.559,0
TB-21625,30,9,2797.668,2
TC-20980,399,5,19052.218,2
TC-21145,106,1,1038.26,0
TC-21295,27,8,4266.812,2
TC-21475,153,9,1244.976,0
TC-21535,4,7,742.5580000000001,0
TD-20995,37,9,1434.5480000000002,2
TG-21310,337,5,3058.372,1
TG-21640,114,4,2074.661,0
TH-21100,344,5,2422.824,1
TH-21115,58,4,2942.772,0
TH-21235,117,8,1022.201,0
TH-21550,72,7,4234.0960000000005,2
TM-21010,103,8,2955.2259999999997,2
TM-21490,130,3,1094.6779999999999,0
TN-21040,90,7,3130.221,0
TP-21130,8,9,4454.0560000000005,2
TP-21415,104,5,5329.0048,0
TP-21565,350,4,1936.6399999999999,1
TR-21325,193,5,675.9419999999999,0
TS-21085,357,2,4.833,1
TS-21160,504,6,2163.6240000000003,1
TS-21205,198,7,5371.09,2
TS-21340,226,5,974.7819999999999,0
TS-21370,36,6,11891.751,2
TS-21430,172,5,2054.14,0
TS-21505,11,6,2243.274,0
TS-21610,55,7,2820.424,0
TS-21655,238,5,3368.094,0
TT-21070,31,7,4915.602,2
TT-21220,183,8,1427.0439999999999,0
TT-21265,406,3,439.5,1
TT-21460,12,7,5364.808,2
TW-21025,64,7,5278.826,2
TZ-21580,35,4,1707.286,0
VB-21745,54,6,2005.596,0
VD-21670,581,6,6442.254,1
VF-21715,13,5,847.944,0
VG-21790,154,6,846.01,0
VG-21805,286,5,427.372,0
VM-21685,54,7,2454.866,0
VM-21835,117,5,380.69,0
VP-21730,30,3,993.9019999999999,0
VP-21760,75,7,3360.526,0
VS-21820,221,4,1055.981,0
VT-21700,1000,2,1736.596,1
VW-21775,28,10,6134.0380000000005,2
WB-21850,20,11,6160.102,2
XP-21865,43,11,2374.658,2
YC-21895,4,5,5454.35,0
YS-21880,9,8,6720.4439999999995,2
ZC-21910,54,13,8025.707,2
ZD-21925,202,5,1493.944,0
